Year (year),State Name (state_name),State Code (state_code),District Name (district_name),District Code (district_code),Crop Name (crop_name),Crop Type (crop_type),Crop Code (crop_code),Fertilizer Name (fertilizer),Irrigation Area Type (area_type),Farm Size Group (size_group),Farm Size Category (size_category),Percentage of Nitrogen (n_percentage),Percentage of Phosphorus (p_percentage),Percentage of Potassium (k_percentage),Total Num of Holdings Growing One or More Crop (num_of_holdings_grow_one_more_crop),Num of Holdings Growing One or More Crop Treated with Chemical Fertilizers (num_of_hold_grow_one_more_crop_ttd_with_chem_fert),Area Under All Crop - High Yielding Variety(HYV) (area_under_all_crop_hyv),Area Under All Crop - Other (area_under_all_crop_other),Area Under All Crop - Total (area_under_all_crop_total),Area Under All Crop - High Yielding Variety(HYV) Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_hyv),Area Under All Crop - Other Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_other),Area Under All Crop - Total Treated with Chemical Fertilizers (area_under_all_crop_treat_with_che_fert_total),Quantity of Applied HYV (qty_fert_applied_hyv),Quantity of Applied Other (qty_fert_applied_other),Quantity of Applied Total (qty_fert_applied_total)
"2016","Kerala","32","Ernakulam","555","Total Plantation Crops","Plantation Crops","1599","NPK Mixture","Unirrigated","Marginal","Below 1.0","17.0","17.0","17.0","37153.0","0.0","3104.0","2685.0","6632.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Ballari","528","Total Fibres","Fiber Crops","1199","Single Super Phosphate (SSP)","Irrigated","Small","1.0 - 1.99","0.0","16.0","0.0","5810.0","645.0","6059.0","0.0","0.0","523.0","0.0","0.0","13.0","0.0","0.0"
"2011","Andhra Pradesh","28","Y.S.R.","504","Other Flowers","Flowers","1688","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","428.0","428.0","0.0","127.0","0.0","0.0","127.0","0.0","0.0","13.0","0.0"
"2011","Himachal Pradesh","2","Kullu","20","Total Pulses","Pulses","299","Ammonium Sulphate","Irrigated","Semi-Medium","2.0 - 3.99","20.6","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Parbhani","489","Tur (Arhar)","Pulses","202","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Semi-Medium","2.0 - 3.99","0.0","0.0","0.0","9710.0","0.0","5560.0","6396.0","11956.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Delhi","7","North","80","Total Foodgrains","Total Foodgrain","399","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","1083.0","1083.0","0.0","0.0","2032.0","0.0","0.0","2032.0","0.0","0.0","920.0"
"2016","Uttar Pradesh","9","Jaunpur","152","Total Pulses","Pulses","299","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Marginal","Below 1.0","0.0","0.0","0.0","7485.0","0.0","1507.0","561.0","2068.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Bihar","10","Araria","188","Mesta","Fiber Crops","1103","Muriate of Potash (MOP)","Irrigated","Marginal","Below 1.0","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","West Godavari","523","Cotton","Fiber Crops","1101","NPK Mixture","Unirrigated","Large","10 And Above","17.0","17.0","17.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Odisha","21","Deogarh","351","Horsegram","Pulses","206","Muriate of Potash (MOP)","Irrigated","Semi-Medium","2.0 - 3.99","0.0","0.0","60.0","80.0","0.0","5.0","7.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Uttarakhand","5","Udam Singh Nagar","56","Jowar","Cereals","102","Urea","Irrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","West Bengal","19","Jalpaiguri","314","Total Food Crops","Other Food Crop","999","NPK Mixture","Irrigated","Large","10 And Above","10.0","26.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Gondia","476","Sugarcane","Sugar","401","Urea","Unirrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","Kurnool","511","Small Millets","Cereals","108","Urea Ammonium Phosphate","Irrigated","Marginal","Below 1.0","20.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Tumakuru","548","Tomato","Vegetable","713","NPK Mixture","Unirrigated","Large","10 And Above","10.0","26.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Bharatpur","91","Total Cereals","Cereals","199","Di-Ammonium Phosphate (DAP)","Irrigated","Small","1.0 - 1.99","18.0","46.0","0.0","49165.0","49165.0","29360.0","309.0","31954.0","29306.0","309.0","31841.0","2975.0","53.0","3253.0"
"2011","Madhya Pradesh","23","Bhind","395","Total Foodgrains","Total Foodgrain","399","Muriate of Potash (MOP)","Irrigated","Small","1.0 - 1.99","0.0","0.0","60.0","26811.0","0.0","16902.0","1713.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Bihar","10","Jehanabad","199","Total Food Crops","Other Food Crop","999","Zinc Sulphate Heptahydrate / Monohydrate","Irrigated","Medium","4.0 - 9.99","0.0","0.0","0.0","275.0","45.0","496.0","585.0","1110.0","53.0","41.0","94.0","3.0","0.0","3.0"
"2016","Jharkhand","20","Bokaro","322","Horsegram","Pulses","206","Urea","Irrigated","Large","10 And Above","46.0","0.0","0.0","9.0","0.0","18.0","0.0","18.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Arunachal Pradesh","12","Namsai","678","Total Cereals","Cereals","199","Calcium Ammonium Nitrate","Irrigated","Small","1.0 - 1.99","25.0","0.0","0.0","1064.0","621.0","0.0","0.0","590.0","0.0","0.0","74.0","0.0","0.0","2.0"
"2016","Tamil Nadu","33","Tiruppur","634","Groundnut","Oilseeds","1001","Di-Ammonium Phosphate (DAP)","Unirrigated","Small","1.0 - 1.99","18.0","46.0","0.0","4315.0","479.0","2512.0","0.0","2512.0","288.0","0.0","288.0","14.0","0.0","14.0"
"2016","West Bengal","19","Dinajpur Dakshin","310","Potato","Vegetable","701","Calcium Ammonium Nitrate","Unirrigated","Semi-Medium","2.0 - 3.99","25.0","0.0","0.0","60.0","0.0","24.0","0.0","24.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Jalna","479","Sugarcane","Sugar","401","Urea Ammonium Phosphate","Unirrigated","Large","10 And Above","24.0","24.0","0.0","20.0","0.0","56.0","0.0","112.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Yadgir","635","Tur (Arhar)","Pulses","202","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Medium","4.0 - 9.99","0.0","0.0","0.0","12642.0","0.0","43515.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Uttar Pradesh","9","Lucknow","162","Total Oilseeds","Oilseeds","1099","Diammonium Sulphate","Unirrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","68.0","0.0","83.0","4.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Telangana","36","Warangal","522","Maize","Cereals","104","Muriate of Potash (MOP)","Irrigated","Small","1.0 - 1.99","0.0","0.0","60.0","11055.0","8423.0","0.0","0.0","7539.0","0.0","0.0","5810.0","0.0","0.0","1119.0"
"2016","Andhra Pradesh","28","Krishna","510","Sugarcane","Sugar","401","Single Super Phosphate (SSP)","Unirrigated","Marginal","Below 1.0","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Washim","499","Tur (Arhar)","Pulses","202","Di-Ammonium Phosphate (DAP)","Unirrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","6149.0","3868.0","5518.0","31.0","5764.0","3526.0","31.0","3665.0","422.0","2.0","434.0"
"2011","Andhra Pradesh","28","East Godavari","505","Oil Palm","Oilseeds","1011","Muriate of Potash (MOP)","Irrigated","Large","10 And Above","0.0","0.0","60.0","18.0","0.0","0.0","198.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Himachal Pradesh","2","Lahul And Spiti","21","Total Food Crops","Other Food Crop","999","Nitro Phosphate Potash","Irrigated","Large","10 And Above","15.0","15.0","15.0","6.0","0.0","42.0","0.0","42.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Jammu And Kashmir","1","Samba","624","Total Foodgrains","Total Foodgrain","399","Muriate of Potash (MOP)","Irrigated","Medium","4.0 - 9.99","0.0","0.0","60.0","435.0","82.0","0.0","624.0","2112.0","0.0","149.0","411.0","0.0","1.0","4.0"
"2016","West Bengal","19","Dinajpur Dakshin","310","Paddy","Cereals","101","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","21263.0","21263.0","29140.0","1186.0","31020.0","29139.0","1186.0","31019.0","3849.0","137.0","4307.0"
"2016","Uttar Pradesh","9","Gonda","147","Summer Paddy","Cereals","121","Di-Ammonium Phosphate (DAP)","Irrigated","Small","1.0 - 1.99","18.0","46.0","0.0","4034.0","2647.0","3553.0","0.0","3553.0","2229.0","0.0","2229.0","407.0","0.0","407.0"
"2011","Madhya Pradesh","23","Raisen","421","Barley","Cereals","107","Diammonium Sulphate","Irrigated","Semi-Medium","2.0 - 3.99","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Tamil Nadu","33","Madurai","578","Total Cereals","Cereals","199","Ammonium Phosphate Sulphate","Irrigated","Marginal","Below 1.0","18.0","9.0","0.0","98116.0","0.0","35583.0","0.0","35583.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Assam","18","Udalguri","617","Total Cereals","Cereals","199","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","68231.0","24307.0","646.0","24295.0","0.0","640.0","11793.0","0.0","117.0","2028.0","0.0"
"2016","Maharashtra","27","Sangli","493","Sugarcane","Sugar","401","Calcium Ammonium Nitrate","Irrigated","Small","1.0 - 1.99","25.0","0.0","0.0","50447.0","0.0","31080.0","0.0","31080.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Rajasthan","8","Bharatpur","91","Total Sugar Crops","Sugar","499","Diammonium Sulphate","Unirrigated","Small","1.0 - 1.99","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","West Bengal","19","Medinipur West","318","Total Cereals","Cereals","199","Single Super Phosphate (SSP)","Irrigated","Marginal","Below 1.0","0.0","16.0","0.0","589645.0","42849.0","136495.0","2561.0","0.0","20657.0","485.0","0.0","3335.0","36.0","0.0"
"2011","Tamil Nadu","33","Thiruvarur","590","Total Cereals","Cereals","199","Ammonium Chloride","Irrigated","Medium","4.0 - 9.99","25.0","0.0","0.0","3021.0","0.0","18246.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Udaipur","117","Maize","Cereals","104","Triple Super Phosphate (TSP)","Unirrigated","Semi-Medium","2.0 - 3.99","0.0","46.0","0.0","36802.0","607.0","5551.0","32398.0","40132.0","27.0","425.0","452.0","2.0","43.0","46.0"
"2016","Odisha","21","Nabarangpur","366","Total Pulses","Pulses","299","Urea","Unirrigated","Large","10 And Above","46.0","0.0","0.0","74.0","6.0","90.0","63.0","153.0","0.0","6.0","6.0","0.0","0.0","0.0"
"2011","Tamil Nadu","33","Krishnagiri","577","Tomato","Vegetable","713","Muriate of Potash (MOP)","Unirrigated","Marginal","Below 1.0","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Odisha","21","Nayagarh","367","Paddy","Cereals","101","Calcium Ammonium Nitrate","Irrigated","Semi-Medium","2.0 - 3.99","25.0","0.0","0.0","3621.0","0.0","1951.0","68.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Andhra Pradesh","28","Kurnool","511","Ragi","Cereals","105","NPK Mixture","Unirrigated","Small","1.0 - 1.99","14.0","35.0","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Rajasthan","8","Jhalawar","105","Total Foodgrains","Total Foodgrain","399","Urea","Unirrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","21723.0","14563.0","13905.0","13249.0","29509.0","10345.0","6200.0","17053.0","1551.0","743.0","2347.0"
"2016","Bihar","10","Samastipur","217","Total Oilseeds","Oilseeds","1099","Di-Ammonium Phosphate (DAP)","Irrigated","Marginal","Below 1.0","18.0","46.0","0.0","1815.0","0.0","0.0","0.0","44.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","West Bengal","19","Murshidabad","319","Other Condiments & Spices","Spices","588","NPK Mixture","Irrigated","Semi-Medium","2.0 - 3.99","10.0","26.0","26.0","905.0","483.0","295.0","49.0","0.0","200.0","0.0","0.0","20.0","0.0","0.0"
"2011","West Bengal","19","Dinajpur Dakshin","310","All Vegetables","Vegetable","799","Nitro Phosphate Potash","Unirrigated","Semi-Medium","2.0 - 3.99","15.0","15.0","15.0","264.0","0.0","40.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Jabalpur","411","Kharif Paddy","Cereals","131","NPK Mixture","Irrigated","Large","10 And Above","10.0","26.0","26.0","320.0","0.0","1473.0","554.0","2027.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Delhi","7","Central","77","Total Cereals","Cereals","199","Urea","Unirrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","77.0","77.0","0.0","31.0","31.0","0.0","31.0","31.0","0.0","10.0","10.0"
"2011","Karnataka","29","Bagalkote","524","Total Cereals","Cereals","199","Urea","Irrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","7189.0","6455.0","17443.0","0.0","0.0","14830.0","0.0","0.0","2890.0","0.0","0.0"
"2011","Andhra Pradesh","28","Y.S.R.","504","Sunflower","Oilseeds","1007","NPK Mixture","Unirrigated","Small","1.0 - 1.99","17.0","17.0","17.0","11575.0","1286.0","10982.0","95.0","0.0","1382.0","0.0","0.0","176.0","0.0","0.0"
"2016","Uttar Pradesh","9","Gautam Buddha Nagar","144","Total Sugar Crops","Sugar","499","Single Super Phosphate (SSP)","Irrigated","Marginal","Below 1.0","0.0","16.0","0.0","5474.0","0.0","2770.0","0.0","2770.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Madhya Pradesh","23","Rajgarh","422","Other Pulses","Pulses","288","Single Super Phosphate (SSP)","Irrigated","Large","10 And Above","0.0","16.0","0.0","222.0","74.0","32.0","63.0","0.0","13.0","35.0","0.0","1.0","11.0","0.0"
"2011","Andhra Pradesh","28","Guntur","506","Yam","Vegetable","704","NPK Mixture","Unirrigated","Marginal","Below 1.0","10.0","26.0","26.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Rajgarh","422","Total Food Crops","Other Food Crop","999","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","78910.0","52352.0","52396.0","6440.0","102051.0","42019.0","1964.0","58213.0","3230.0","267.0","4818.0"
"2016","Rajasthan","8","Dausa","97","Tomato","Vegetable","713","Urea","Unirrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Himachal Pradesh","2","Bilaspur","15","Colocasia/Arum","Vegetable","706","Urea","Irrigated","Small","1.0 - 1.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Kerala","32","Kozhikode","561","Total Cereals","Cereals","199","NPK Mixture","Irrigated","Medium","4.0 - 9.99","19.0","19.0","19.0","33.0","17.0","7.0","14.0","0.0","0.0","14.0","0.0","0.0","1.0","0.0"
"2011","Haryana","6","Sonipat","75","Cotton","Fiber Crops","1101","Urea","Unirrigated","Semi-Medium","2.0 - 3.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Chhattisgarh","22","Bilaspur","375","Kharif Paddy","Cereals","131","Calcium Ammonium Nitrate","Unirrigated","Small","1.0 - 1.99","25.0","0.0","0.0","43359.0","0.0","28657.0","18701.0","47358.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Kerala","32","Ernakulam","555","Nutmeg","Spices","513","Single Super Phosphate (SSP)","Irrigated","Medium","4.0 - 9.99","0.0","16.0","0.0","377.0","0.0","23.0","61.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Maharashtra","27","Nandurbar","486","Gram","Pulses","201","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","7839.0","1306.0","5416.0","0.0","0.0","862.0","0.0","0.0","392.0","0.0","0.0"
"2011","Kerala","32","Palakkad","563","Total Oilseeds","Oilseeds","1099","NPK Mixture","Unirrigated","Medium","4.0 - 9.99","12.0","32.0","16.0","2121.0","64.0","23.0","623.0","0.0","0.0","50.0","0.0","0.0","1.0","0.0"
"2016","Manipur","14","Imphal East","255","Peas (Vegetable) (Green)","Vegetable","719","Di-Ammonium Phosphate (DAP)","Unirrigated","Medium","4.0 - 9.99","18.0","46.0","0.0","22.0","0.0","2.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Karnataka","29","Chikkamagaluru","532","Tomato","Vegetable","713","Urea Ammonium Phosphate","Unirrigated","Semi-Medium","2.0 - 3.99","20.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Tamil Nadu","33","Theni","588","Kharif Paddy","Cereals","131","Single Super Phosphate (SSP)","Irrigated","Large","10 And Above","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Assam","18","Sivasagar","300","Total Plantation Crops","Plantation Crops","1599","Muriate of Potash (MOP)","Unirrigated","Small","1.0 - 1.99","0.0","0.0","60.0","3516.0","3165.0","0.0","2849.0","2849.0","0.0","2528.0","2528.0","0.0","22.0","22.0"
"2016","Maharashtra","27","Aurangabad","469","Wheat","Cereals","106","Urea","Unirrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Uttar Pradesh","9","Bahraich","125","Total Non-Food Crops","Total Non-Food","1999","Triple Super Phosphate (TSP)","Irrigated","Large","10 And Above","0.0","46.0","0.0","0.0","0.0","10.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","West Bengal","19","Purba Bardhaman","306","Summer Paddy","Cereals","121","Rock Phosphate","Unirrigated","Marginal","Below 1.0","0.0","18.0","0.0","1025.0","0.0","1017.0","0.0","1017.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Yavatmal","500","Total Foodgrains","Total Foodgrain","399","Mono-Ammonium Phosphate (MAP)","Unirrigated","Marginal","Below 1.0","0.0","52.0","0.0","30172.0","1537.0","5246.0","4319.0","11125.0","229.0","0.0","652.0","41.0","0.0","85.0"
"2011","West Bengal","19","Purba Bardhaman","306","Potato","Vegetable","701","Diammonium Sulphate","Irrigated","Large","10 And Above","18.0","46.0","0.0","4.0","0.0","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Maharashtra","27","Osmanabad","488","Tur (Arhar)","Pulses","202","Single Super Phosphate (SSP)","Irrigated","Medium","4.0 - 9.99","0.0","16.0","0.0","476.0","0.0","1305.0","119.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Tamil Nadu","33","Krishnagiri","577","Chillies","Spices","502","Muriate of Potash (MOP)","Unirrigated","Large","10 And Above","0.0","0.0","60.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Manipur","14","Thoubal","259","Total Food Crops","Other Food Crop","999","Single Super Phosphate (SSP)","Irrigated","Small","1.0 - 1.99","0.0","16.0","0.0","3857.0","2269.0","7007.0","170.0","0.0","1985.0","125.0","0.0","16.0","4.0","0.0"
"2016","Tamil Nadu","33","Ramanathapuram","583","Total Cereals","Cereals","199","Triple Super Phosphate (TSP)","Unirrigated","Semi-Medium","2.0 - 3.99","0.0","46.0","0.0","4692.0","0.0","9478.0","0.0","9478.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Haryana","6","Kurukshetra","68","Fodder & Green Manures","Fodder","1499","Diammonium Sulphate","Irrigated","Semi-Medium","2.0 - 3.99","18.0","46.0","0.0","7440.0","1099.0","3726.0","394.0","0.0","417.0","282.0","0.0","90.0","7.0","0.0"
"2016","Haryana","6","Sirsa","74","Barley","Cereals","107","Urea","Irrigated","Marginal","Below 1.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Jalna","479","Total Pulses","Pulses","299","Ammonium Phosphate Sulphate / Nitrogen Phosphate","Unirrigated","Semi-Medium","2.0 - 3.99","20.0","20.0","0.0","11143.0","796.0","6906.0","8249.0","15155.0","369.0","0.0","369.0","61.0","0.0","61.0"
"2016","Maharashtra","27","Solapur","496","Papaya","Fruits","615","Di-Ammonium Phosphate (DAP)","Unirrigated","Marginal","Below 1.0","18.0","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Maharashtra","27","Nagpur","484","Total Fruits","Fruits","699","Ammonium Phosphate Sulphate / Nitrogen Phosphate","Unirrigated","Medium","4.0 - 9.99","20.0","20.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Sagar","425","Tur (Arhar)","Pulses","202","Single Super Phosphate (SSP)","Irrigated","Large","10 And Above","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Andhra Pradesh","28","East Godavari","505","Total Fibres","Fiber Crops","1199","Zinc Sulphate Heptahydrate / Monohydrate","Unirrigated","Marginal","Below 1.0","0.0","0.0","0.0","31589.0","4120.0","16737.0","0.0","16737.0","879.0","0.0","879.0","27.0","0.0","27.0"
"2016","Rajasthan","8","Chittorgarh","95","Isabgol","Medicinal","1702","Triple Super Phosphate (TSP)","Irrigated","Small","1.0 - 1.99","0.0","46.0","0.0","2646.0","496.0","359.0","624.0","983.0","127.0","73.0","200.0","41.0","17.0","58.0"
"2011","Haryana","6","Rewari","72","Rapeseed & Mustard (Toria/Taramira)","Oilseeds","1004","Diammonium Sulphate","Irrigated","Large","10 And Above","18.0","46.0","0.0","636.0","636.0","5491.0","0.0","0.0","5491.0","0.0","0.0","376.0","0.0","0.0"
"2016","Madhya Pradesh","23","Narmadapuram","409","Gram","Pulses","201","Di-Ammonium Phosphate (DAP)","Unirrigated","Large","10 And Above","18.0","46.0","0.0","109.0","73.0","117.0","435.0","552.0","0.0","435.0","435.0","0.0","51.0","51.0"
"2011","Uttar Pradesh","9","Hathras","163","Total Cereals","Cereals","199","Urea","Unirrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","237.0","165.0","157.0","236.0","0.0","157.0","0.0","0.0","23.0","0.0","0.0"
"2011","Karnataka","29","Raichur","546","Other Cereals","Cereals","188","Urea Ammonium Phosphate","Unirrigated","Small","1.0 - 1.99","20.0","20.0","0.0","15781.0","464.0","17267.0","0.0","0.0","563.0","0.0","0.0","46.0","0.0","0.0"
"2016","Gujarat","24","Sabar Kantha","458","Other Vegetables","Vegetable","788","Urea","Unirrigated","Small","1.0 - 1.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Tamil Nadu","33","Krishnagiri","577","Total Pulses","Pulses","299","Muriate of Potash (MOP)","Unirrigated","Marginal","Below 1.0","0.0","0.0","60.0","55018.0","1196.0","6417.0","3911.0","0.0","957.0","0.0","0.0","10.0","0.0","0.0"
"2016","West Bengal","19","24 Paraganas South","304","Rapeseed & Mustard (Toria/Taramira)","Oilseeds","1004","Urea","Irrigated","Medium","4.0 - 9.99","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Karnataka","29","Chamarajanagara","531","Total Oilseeds","Oilseeds","1099","Urea","Unirrigated","Marginal","Below 1.0","46.0","0.0","0.0","42840.0","5491.0","23752.0","0.0","24196.0","3177.0","0.0","3177.0","395.0","0.0","395.0"
"2016","Karnataka","29","Davangere","535","Total Fibres","Fiber Crops","1199","NPK Mixture","Unirrigated","Medium","4.0 - 9.99","17.0","17.0","17.0","219.0","110.0","233.0","0.0","233.0","122.0","0.0","122.0","33.0","0.0","33.0"
"2011","Tamil Nadu","33","Dharmapuri","571","Lady's Finger (Bhindi)","Vegetable","720","Urea","Irrigated","Large","10 And Above","46.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","West Bengal","19","Purulia","321","Cucumber","Vegetable","722","NPK Mixture","Irrigated","Medium","4.0 - 9.99","22.0","22.0","11.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Madhya Pradesh","23","Guna","406","Urad","Pulses","203","Single Super Phosphate (SSP)","Irrigated","Small","1.0 - 1.99","0.0","16.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Karnataka","29","Chitradurga","533","Other Cereals","Cereals","188","Triple Super Phosphate (TSP)","Unirrigated","Large","10 And Above","0.0","46.0","0.0","644.0","0.0","136.0","903.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Karnataka","29","Uttara Kannada","550","Total Fruits","Fruits","699","Muriate of Potash (MOP)","Unirrigated","Small","1.0 - 1.99","0.0","0.0","60.0","3849.0","0.0","35.0","1525.0","1560.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Madhya Pradesh","23","Panna","420","Soyabean","Oilseeds","1009","Single Super Phosphate (SSP)","Unirrigated","Small","1.0 - 1.99","0.0","16.0","0.0","3843.0","0.0","256.0","2919.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2011","Odisha","21","Baleshwar","346","Total Non-Food Crops","Total Non-Food","1999","Diammonium Sulphate","Irrigated","Large","10 And Above","18.0","46.0","0.0","15.0","0.0","12.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"2016","Kerala","32","Kannur","557","Pepper (Black)","Spices","501","NPK Mixture","Unirrigated","Semi-Medium","2.0 - 3.99","17.0","17.0","17.0","1373.0","23.0","3.0","44.0","48.0","0.0","0.0","0.0","0.0","1.0","1.0"
"2016","Maharashtra","27","Beed","470","Total Cereals","Cereals","199","Ammonium Phosphate Sulphate / Nitrogen Phosphate","Irrigated","Medium","4.0 - 9.99","20.0","20.0","0.0","4846.0","0.0","727.0","4441.0","5297.0","0.0","0.0","0.0","0.0","0.0","0.0"
